2. 1. 2.3387252996968677e-13 -8.801262628708475e-18 2.338637287070581e-13
2. 2. 1.0311057776644497e-9 -1.4194205875060633e-14 1.0310915834585747e-9
3. 1. 1.3935928119760085e-15 -2.3273302059237017e-22 1.393592579242988e-15
3. 2. 7.510595620140144e-15 -2.4472963157707766e-21 7.510593172843828e-15
3. 3. 1.511153740875574e-11 -2.4255092633886513e-18 1.5111534983246475e-11
4. 1. 3.6811034763761415e-21 -1.2330222634191985e-29 3.681103464045919e-21
4. 2. 1.5369005783146915e-16 -2.923681366681959e-25 1.53690057539101e-16
4. 3. 1.7005500084147032e-16 -5.475411711748117e-25 1.7005500029392914e-16
4. 4. 2.722594713840093e-13 -5.07469820811203e-22 2.722594708765394e-13
5. 1. 1.0349364933154733e-23 0. 1.0349364932913019e-23
5. 2. 1.1396989798665096e-21 0. 1.1396989798274164e-21
5. 3. 6.422949744770416e-18 -1.403122438247471e-28 6.4229497446301035e-18
5. 4. 3.512282050567408e-18 -1.1840208122137283e-28 3.512282050449006e-18
5. 5. 5.243134482735899e-15 -1.132822607749066e-25 5.243134482622616e-15
6. 1. 1.7253589077319144e-29 0. 1.7253589077312166e-29
6. 2. 1.0031929984095379e-23 0. 1.0031929984092778e-23
6. 3. 7.48668788681487e-23 0. 7.48668788681212e-23
6. 4. 1.9681278609945634e-19 0. 1.9681278609940682e-19
6. 5. 7.014827125065964e-20 0. 7.014827125063411e-20
6. 6. 1.0392297323153663e-16 -2.6001106358856034e-29 1.0392297323151062e-16
7. 1. 0. 0. 0.
7. 2. 5.021024533405517e-29 0. 5.021024533405496e-29
7. 3. 1.213911326018777e-24 0. 1.2139113260187735e-24
7. 4. 2.912528762665131e-24 0. 2.9125287626651192e-24
7. 5. 5.237274433038089e-21 0. 5.2372744330380735e-21
7. 6. 1.381418295065035e-21 0. 1.3814182950650295e-21
7. 7. 2.0895044718968758e-18 0. 2.0895044718968696e-18
8. 1. 0. 0. 0.
8. 2. 0. 0. 0.
8. 3. 1.0361395801829676e-29 0. 1.0361395801829674e-29
8. 4. 7.092142508203902e-26 0. 7.092142508203901e-26
8. 5. 8.878027717379884e-26 0. 8.878027717379883e-26
8. 6. 1.2905218273259076e-22 0. 1.2905218273259076e-22
8. 7. 2.7036013404141716e-23 0. 2.7036013404141716e-23
8. 8. 4.2334674114982144e-20 0. 4.2334674114982144e-20
9. 1. 0. 0. 0.
9. 2. 0. 0. 0.
9. 3. 0. 0. 0.
9. 4. 0. 0. 0.
9. 5. 2.9200393213326535e-27 0. 2.9200393213326535e-27
9. 6. 2.3677907320527463e-27 0. 2.3677907320527463e-27
9. 7. 3.0341103954095616e-24 0. 3.0341103954095616e-24
9. 8. 5.277544146803799e-25 0. 5.277544146803799e-25
9. 9. 8.613720883566573e-22 0. 8.613720883566573e-22
10. 1. 0. 0. 0.
10. 2. 0. 0. 0.
10. 3. 0. 0. 0.
10. 4. 0. 0. 0.
10. 5. 0. 0. 0.
10. 6. 9.866970623748378e-29 0. 9.866970623748378e-29
10. 7. 5.823908200056334e-29 0. 5.823908200056334e-29
10. 8. 6.915452334777915e-26 0. 6.915452334777915e-26
10. 9. 1.0293384653366639e-26 0. 1.0293384653366639e-26
10. 10. 1.756755675008722e-23 0. 1.756755675008722e-23
11. 1. 0. 0. 0.
11. 2. 0. 0. 0.
11. 3. 0. 0. 0.
11. 4. 0. 0. 0.
11. 5. 0. 0. 0.
11. 6. 0. 0. 0.
11. 7. 2.9471142438341074e-30 0. 2.9471142438341074e-30
11. 8. 1.3590796204982755e-30 0. 1.3590796204982755e-30
11. 9. 1.5423136338364745e-27 0. 1.5423136338364745e-27
11. 10. 2.0077612108839795e-28 0. 2.0077612108839795e-28
11. 11. 3.587436843771375e-25 0. 3.587436843771375e-25
12. 1. 0. 0. 0.
12. 2. 0. 0. 0.
12. 3. 0. 0. 0.
12. 4. 0. 0. 0.
12. 5. 0. 0. 0.
12. 6. 0. 0. 0.
12. 7. 0. 0. 0.
12. 8. 0. 0. 0.
12. 9. 0. 0. 0.
12. 10. 3.385449291718791e-29 0. 3.385449291718791e-29
12. 11. 3.918276605924447e-30 0. 3.918276605924447e-30
12. 12. 7.330340458585781e-27 0. 7.330340458585781e-27
13. 1. 0. 0. 0.
13. 2. 0. 0. 0.
13. 3. 0. 0. 0.
13. 4. 0. 0. 0.
13. 5. 0. 0. 0.
13. 6. 0. 0. 0.
13. 7. 0. 0. 0.
13. 8. 0. 0. 0.
13. 9. 0. 0. 0.
13. 10. 0. 0. 0.
13. 11. 0. 0. 0.
13. 12. 0. 0. 0.
13. 13. 1.4981482108681574e-28 0. 1.4981482108681574e-28
14. 1. 0. 0. 0.
14. 2. 0. 0. 0.
14. 3. 0. 0. 0.
14. 4. 0. 0. 0.
14. 5. 0. 0. 0.
14. 6. 0. 0. 0.
14. 7. 0. 0. 0.
14. 8. 0. 0. 0.
14. 9. 0. 0. 0.
14. 10. 0. 0. 0.
14. 11. 0. 0. 0.
14. 12. 0. 0. 0.
14. 13. 0. 0. 0.
14. 14. 3.061721747842111e-30 0. 3.061721747842111e-30
15. 1. 0. 0. 0.
15. 2. 0. 0. 0.
15. 3. 0. 0. 0.
15. 4. 0. 0. 0.
15. 5. 0. 0. 0.
15. 6. 0. 0. 0.
15. 7. 0. 0. 0.
15. 8. 0. 0. 0.
15. 9. 0. 0. 0.
15. 10. 0. 0. 0.
15. 11. 0. 0. 0.
15. 12. 0. 0. 0.
15. 13. 0. 0. 0.
15. 14. 0. 0. 0.
15. 15. 0. 0. 0.
